"","genus_species","group"
"1","Euphausia pacifica","krill"
"2","Euphausiidae","krill"
"3","Thysanoessa spinifera","krill"
"4","Calanus marshallae","cold-water copepods"
"5","Cancer oregonensis/productus","Cancer crab larvae"
"6","Chaetognatha","Chaetognaths"
"7","Themisto pacifica","Hyperiid amphipod"
"8","Cirripedia","Barnacle larvae"
"9","Limacina","sea butterflies"
"10","Crangonidae","shrimp larvae"
"11","Hyperoche","Hyperiid amphipod"
"12","22 division fish egg","fish eggs"
"13","Hippolytidae","shrimp larvae"
"14","Mitrocoma cellularia","Cnidarians"
"15","Eucalanus","copepods"
"16","Calanus pacificus","warm-water copepods"
"17","Sebastes spp.","rockfishes"
"18","Engraulis mordax","northern anchovy"
"19","Neotrypaea californiensis","shrimp larvae"
"20","Pugettia","Non-Cancer crab larvae"
"21","Cancer magister","Cancer crab larvae"
"22","Epilabidocera longipedata","copepods"
"23","Fabia","Non-Cancer crab larvae"
"24","Porcellanidae","Non-Cancer crab larvae"
"25","Atylus tridens","Gammarid amphipod"
"26","Paguridae","Non-Cancer crab larvae"
"27","Aequorea spp.","Cnidarians"
"28","Eutonina indicans","Cnidarians"
"29","Cancer antennarius/gracilis","Cancer crab larvae"
"30","Neocalanus plumchrus","Cnidarians"
"31","Lepas","Barnacle larvae"
"32","Neocalanus cristatus","copepods"
"33","Lophopanopeus","Non-Cancer crab larvae"
"34","Chrysaora fuscescens","Cnidarians"
"35","Hyperia medusarum","Hyperiid amphipod"
"36","Psettichthys melanostictus","flatfishes"
"37","Tomopteris","Polychaetes"
"38","Pandalidae","shrimp larvae"
"39","Galatheidae","squat lobster"
"40","Diptera","insects"
"41","Stenobrachius leucopsarus","myctophids"
"42","Isopsetta isolepis","flatfishes"
"43","Lyopsetta exilis","flatfishes"
"44","Artedius harringtoni","sculpins"
"45","Citharichthys spp.","flatfishes"
"46","Oregonia gracilis","Non-Cancer crab larvae"
"47","Osteichthyes","fishes"
"48","Teuthida","squids"
"49","Gammaridae","Gammarid amphipod"
"50","Osmeridae","Osmerids"
"51","Pinnixa","Non-Cancer crab larvae"
"52","Lycaea pulex","Hyperiid amphipod"
"53","Alienacanthomysis macropsis","shrimp larvae"
"54","Microgadus proximus","Pacific Tomcod"
"55","Vibilia australis","Hyperiid amphipod"
"56","Clione limacina","sea butterflies"
"57","Artedius fenestralis","sculpins"
"58","Pinnotheridae","Non-Cancer crab larvae"
"59","Euchirella rostrata","copepods"
"60","Glyptocephalus zachirus","flatfishes"
"61","Emerita analoga","Non-Cancer crab larvae"
"62","Thysanoessa inspinata","krill"
"63","Cumacea","shrimp larvae"
"64","Liparis mucosus","snailfishes"
"65","Insecta","insects"
"66","Ronquilus jordani","ronquils/pricklebacks"
"67","Corolla spectabilis","sea butterflies"
"68","Grapsidae","Non-Cancer crab larvae"
"69","Liparis fucensis","snailfishes"
"70","Liparis pulchellus","snailfishes"
"71","Scorpaenichthys marmoratus","sculpins"
"72","Citharichthys sordidus","flatfishes"
"73","Salpidae","salps"
"74","Vibilia pyripes","Hyperiid amphipod"
"75","Cyclosalpa bakeri","salps"
"76","Liparis spp.","snailfishes"
"77","Idotea fewkesi","isopods"
"78","Lepidogobius lepidus","goby"
"79","Phronima spp.","Hyperiid amphipod"
"80","Liparidae","snailfishes"
"81","Scyphozoa","Cnidarians"
"82","Sebastolobus spp.","rockfishes"
"83","Artedius 3","sculpins"
"84","Bivalvia","bivalves"
"85","Hemigrapsus","Non-Cancer crab larvae"
"86","Hymenoptera","insects"
"87","Nannobrachium regalis","myctophids"
"88","Phialidium","Gammarid amphipod"
"89","Homoptera","insects"
"90","Neomysis rayii","shrimp larvae"
"91","Pleuronectiformes","flatfishes"
"92","Euchaeta","copepods"
"93","Isoptera","insects"
"94","Rhinogobiops nicholsii","goby"
"95","Ruscarius meanyi","sculpins"
"96","Upogebia pugettensis","shrimp larvae"
"97","Aurelia spp.","Cnidarians"
"98","Cottus asper","sculpins"
"99","Mysidacea","shrimp larvae"
"100","Neomysis kadiakensis","shrimp larvae"
"101","Primno spp.","Hyperiid amphipod"
"102","Pugettia, not productus","Non-Cancer crab larvae"
"103","Sardinops sagax","Pacific sardine"
"104","Tarletonbeania crenularis","myctophids"
"105","Archaeomysis grebnitzkii","shrimp larvae"
"106","Artedius","sculpins"
"107","Beroe spp.","Cnidarians"
"108","Caprellidae","Caprellid amphipod"
"109","Cottidae","sculpins"
"110","Decapoda","unknown decapod"
"111","Icichthys lockingtoni","fishes"
"112","Majidae","Non-Cancer crab larvae"
"113","Neomysis mercedis","shrimp larvae"
"114","Pleurobrachia sp.","Cnidarians"
"115","Praya spp.","siphonophores"
"116","Psocoptera","insects"
"117","Streetsia challengeri","Hyperiid amphipod"
"118","Velella velella","Cnidarians"
"119","Actiniaria","Cnidarians"
"120","Araneae","spiders"
"121","Clio pyramidata","sea butterflies"
"122","Lepidopsetta bilineata","flatfishes"
"123","Osteichthyes other","fishes"
"124","Parophrys vetulus","flatfishes"
"125","Polyorchis","Cnidarians"
"126","Pugettia producta","Non-Cancer crab larvae"
"127","Radulinus asprellus","sculpins"
"128","Solmissus","Cnidarians"
"129","82 division fish egg","fish eggs"
"130","Beetles (coleoptera)","insects"
"131","Caligidae","sea lice"
"132","Cancer spp.","Cancer crab larvae"
"133","Clinocottus embryum","sculpins"
"134","Crabs","Non-Cancer crab larvae"
"135","Hemigrapsus nudus","Non-Cancer crab larvae"
"136","Leptocottus armatus","sculpins"
"137","Pleuronichthys decurrens","flatfishes"
"138","Polychaeta","Polychaetes"
"139","Synidotea","isopods"
"140","Trachipterus altivelis","fishes"
"141","Trichoptera","insects"
"142","Xeneretmus latifrons","poachers"
"143","Agonidae","poachers"
"144","Ammodytes hexapterus","Pacific Sand Lance"
"145","Artedius lateralis","sculpins"
"146","Cancer oregonensis","Non-Cancer crab larvae"
"147","Candacia bipinnata","copepods"
"148","Chiroteuthis calyx","squids"
"149","Clupea pallasii","Pacific Herring"
"150","Corophium","Corophiid amphipod"
"151","Dairella californica","Hyperiid amphipod"
"152","Diaphus theta","myctophids"
"153","Hexagrammidae","greenlings"
"154","Icosteus aenigmaticus","fishes"
"155","Idotea rufescens","isopods"
"156","Isopoda","isopods"
"157","Ladybird beetles (coccinellidae)","insects"
"158","Oligocottus snyderi","sculpins"
"159","Oxycephalus","Hyperiid amphipod"
"160","Pachycheles","Non-Cancer crab larvae"
"161","Pinnixa littoralis","Non-Cancer crab larvae"
"162","Platichthys stellatus","flatfishes"
"163","Plecoptera","insects"
"164","Pugettia gracilis","Non-Cancer crab larvae"
"165","Pyrosoma atlanticum","pyrosomes"
"166","Sagitta","Chaetognaths"
"167","Sagitta scrippsae","Chaetognaths"
"168","Sergestidae","shrimp larvae"
"169","Stellerina xyosterna","poachers"
"170","Synidotea consolidata","isopods"
"171","Thysanoessa gregaria","krill"
"172","Thysanoessa spp.","krill"
"173","Xanthidae","Non-Cancer crab larvae"
"174","Amphipoda","amphipod"
"175","Bathymaster","ronquils/pricklebacks"
"176","Brosmophycis marginata","fishes"
"177","Cancer antennarius","Cancer crab larvae"
"178","Centropages abdominalis","copepods"
"179","Chilara taylori","fishes"
"180","Chitonotus pugetensis","sculpins"
"181","Clevelandia ios","goby"
"182","Clinocottus acuticeps","sculpins"
"183","Clinocottus globiceps","sculpins"
"184","Crangon spp.","shrimp larvae"
"185","Ctenophora","Ctenophores"
"186","Cumacea, lg type","shrimp larvae"
"187","Doliolida","Tunicates"
"188","Enophrys bison","sculpins"
"189","Exacanthomysis davisi","shrimp larvae"
"190","Gadus macrocephalus","fishes"
"191","Gasterosteus aculeatus","fishes"
"192","Hyperiidae","Hyperiid amphpids"
"193","Idotea resecata","isopods"
"194","Idotea wasnesenskii","isopods"
"195","Lipolagus ochotensis","myctophids"
"196","Lissocrangon stylirostris","shrimp larvae"
"197","Merluccius productus","fishes"
"198","Myctophidae","myctophids"
"199","Natantia","shrimp larvae"
"200","Notoscopelus resplendens","myctophids"
"201","Oligocottus maculosus","sculpins"
"202","Oxylebius pictus","greenlings"
"203","Pachycheles rudis","Non-Cancer crab larvae"
"204","Pandalus jordani","shrimp larvae"
"205","Parasitic copepod (bill)","sea lice"
"206","Phacellophora camtschatica","Cnidarians"
"207","Psychrolutes","fishes"
"208","Rhithropanopeus harrisii","Non-Cancer crab larvae"
"209","Sebastes entomelas","rockfishes"
"210","Sebastes zacentrus","rockfishes"
"211","Siphonophora","siphonophores"
"212","Stichaeidae","ronquils/pricklebacks"
"213","Telmessus cheiragonus","Non-Cancer crab larvae"
"214","Tessarabrachion oculatum","krill"
"215","Vibilia spp.","Hyperiid amphipod"
